Station,Name,Last Report,Time Since Report,Latitude,Longitude,5-min Precip,10-min Precip,30-min Precip,60-min Precip,3-hour Precip,12-hour Precip
6R6,DRYDEN,20250703000000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703000500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703001000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703001500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703002000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703002500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703003000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703003500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703004000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703004500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703005000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703005500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703010000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703010500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703011000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703011500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703012000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703012500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703013000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703013500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703014000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703014500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703015000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703015500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703020000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703020500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703021000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703021500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703022000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703022500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703023000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703023500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703024000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703024500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703025000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703025500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703030000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703030500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703031000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703031500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703032000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703032500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703033000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703033500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703034000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703034500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703035000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703035500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703040000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703040500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703041000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703041500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
