agency_cd	site_no	dec_lat_va	dec_long_va
USGS	8044800	32.94568035	-97.5830798
USGS	8045550	32.7597222	-97.4038889
USGS	8045850	32.74040699	-97.6519711
USGS	8045995	32.65305556	-97.5863889
USGS	8047000	32.66513275	-97.4419642
USGS	8047050	32.6951316	-97.4472422
USGS	8047500	32.732353	-97.3589063
USGS	8048000	32.76096337	-97.3325167
USGS	8048543	32.7517972	-97.2894598
USGS	8048800	32.80735146	-97.2486256
USGS	8048890	32.53841667	-97.3150278
USGS	8048922	32.58855556	-97.3190278
USGS	8048970	32.60346909	-97.2650142
USGS	8049300	32.7884631	-97.1400111
USGS	8049500	32.7625	-96.9944444
USGS	804956950	32.8044972	-97.0098806
USGS	8049580	32.49097237	-97.1230646
USGS	8049700	32.5809695	-97.1019533
USGS	8050100	32.7498611	-96.9261111
USGS	8050350	33.601	-97.3258333
USGS	8050400	33.62427479	-97.1564016
USGS	8050800	33.55455428	-96.9472267
USGS	8050840	33.52622016	-96.8072191
USGS	8051135	33.3497222	-97.0355556
USGS	8051500	33.3362269	-97.1794587
USGS	8052700	33.28344977	-96.8927805
USGS	8052745	33.219298	-96.8919565
USGS	8052780	33.15178696	-97.1419573
USGS	8053000	33.0456773	-96.9611173
USGS	8053009	33.02694444	-96.9172222
USGS	8053025	33.01469444	-97.0046944
USGS	8053090	32.9571611	-96.9071167
USGS	8053430	33.27791667	-97.4170417
USGS	8053500	33.11901003	-97.2905732
USGS	8055000	32.9870677	-97.0127857
USGS	8055500	32.965957	-96.94445
USGS	8055560	32.87333333	-96.9305556
USGS	8056500	32.80735055	-96.8025013
USGS	8057000	32.7748517	-96.8219464
USGS	8057200	32.88929207	-96.7566664
USGS	8057300	32.80873904	-96.725832
USGS	8057410	32.70763139	-96.7358319
USGS	8059000	33.20372724	-96.595824
USGS	8059350	33.225	-96.3730556
USGS	8059400	33.29455786	-96.4830413
USGS	8059590	33.18513889	-96.6391389
USGS	8061000	33.02373066	-96.4755429
USGS	8061480	32.95225	-96.4736389
